topic_id,cluster,proposed_title,search_intent,target_reader,primary_keyword,related_keywords,recommended_article_type,difficulty_level,funnel_stage,unique_angle,suggested_internal_link,suggested_call_to_action,featured_snippet_opportunity,expert_review_or_source
"IQ-01","IQ-style tests explained","What a free IQ-style test actually measures","Informational","Curious first-time readers","IQ-style test explained","online IQ test|IQ test meaning|reasoning assessment","Explainer","Beginner","Discover","Clarify what an online practice test can responsibly say. Focus the article on “What a free IQ-style test actually measures” and include an original example or check.","/how-it-works","See how the assessment works","Yes: concise definition or checklist","Editorial review; cite any psychological claim"
"IQ-02","IQ-style tests explained","IQ-style test vs clinical assessment: a plain-language guide","Informational","Curious first-time readers","IQ-style test explained","online IQ test|IQ test meaning|reasoning assessment","Explainer","Beginner","Discover","Clarify what an online practice test can responsibly say. Focus the article on “IQ-style test vs clinical assessment: a plain-language guide” and include an original example or check.","/how-it-works","See how the assessment works","Yes: concise definition or checklist","Editorial review; cite any psychological claim"
"IQ-03","IQ-style tests explained","Why estimated scores are not permanent labels","Informational","Curious first-time readers","IQ-style test explained","online IQ test|IQ test meaning|reasoning assessment","Explainer","Beginner","Discover","Clarify what an online practice test can responsibly say. Focus the article on “Why estimated scores are not permanent labels” and include an original example or check.","/how-it-works","See how the assessment works","Yes: concise definition or checklist","Editorial review; cite any psychological claim"
"IQ-04","IQ-style tests explained","How randomized questions change each practice attempt","Informational","Curious first-time readers","IQ-style test explained","online IQ test|IQ test meaning|reasoning assessment","Explainer","Beginner","Discover","Clarify what an online practice test can responsibly say. Focus the article on “How randomized questions change each practice attempt” and include an original example or check.","/how-it-works","See how the assessment works","Yes: concise definition or checklist","Editorial review; cite any psychological claim"
"IQ-05","IQ-style tests explained","What five reasoning categories reveal about one session","Informational","Curious first-time readers","IQ-style test explained","online IQ test|IQ test meaning|reasoning assessment","Explainer","Beginner","Discover","Clarify what an online practice test can responsibly say. Focus the article on “What five reasoning categories reveal about one session” and include an original example or check.","/how-it-works","See how the assessment works","Yes: concise definition or checklist","Editorial review; cite any psychological claim"
"IQ-06","IQ-style tests explained","How to set expectations before an online reasoning test","Informational","Curious first-time readers","IQ-style test explained","online IQ test|IQ test meaning|reasoning assessment","Explainer","Beginner","Discover","Clarify what an online practice test can responsibly say. Focus the article on “How to set expectations before an online reasoning test” and include an original example or check.","/how-it-works","See how the assessment works","Yes: concise definition or checklist","Editorial review; cite any psychological claim"
"IQ-07","IQ-style tests explained","Why a short test cannot measure every kind of ability","Informational","Curious first-time readers","IQ-style test explained","online IQ test|IQ test meaning|reasoning assessment","Explainer","Beginner","Discover","Clarify what an online practice test can responsibly say. Focus the article on “Why a short test cannot measure every kind of ability” and include an original example or check.","/how-it-works","See how the assessment works","Yes: concise definition or checklist","Editorial review; cite any psychological claim"
"IQ-08","IQ-style tests explained","A reader's checklist for evaluating an online IQ-style test","Informational","Curious first-time readers","IQ-style test explained","online IQ test|IQ test meaning|reasoning assessment","Explainer","Beginner","Discover","Clarify what an online practice test can responsibly say. Focus the article on “A reader's checklist for evaluating an online IQ-style test” and include an original example or check.","/how-it-works","See how the assessment works","Yes: concise definition or checklist","Editorial review; cite any psychological claim"
"LOG-01","Logical reasoning","Must be true vs could be true in logic questions","Practice","Learners building logic habits","logical reasoning practice","logic puzzles|must be true|conditional reasoning","Worked example","Beginner","Learn","Use explicit conditions and a small proof instead of intuition. Focus the article on “Must be true vs could be true in logic questions” and include an original example or check.","/test","Try a fresh reasoning question","Yes: numbered reasoning steps","Editorial check; source only if claims added"
"LOG-02","Logical reasoning","How to translate “all” and “some” into a simple diagram","Practice","Learners building logic habits","logical reasoning practice","logic puzzles|must be true|conditional reasoning","Worked example","Beginner","Learn","Use explicit conditions and a small proof instead of intuition. Focus the article on “How to translate “all” and “some” into a simple diagram” and include an original example or check.","/test","Try a fresh reasoning question","Yes: numbered reasoning steps","Editorial check; source only if claims added"
